120.52.73.0/24	971659862255599616	3	23	4	3	0
111.40.240.0/28	971659862259793920	2	38	4	3	0
120.198.231.0/26	971659862259793921	2	42	4	3	0
120.198.236.0/27	971659862259793922	2	42	4	3	0
101.96.8.0/26	971659862259793923	4	39	4	3	0
101.96.8.128/26	971659862259793924	4	39	4	3	0
101.110.116.0/25	971659862259793925	4	47	4	3	0
101.96.10.0/24	971659862259793926	4	47	4	3	0
111.20.227.48/28	971659862259793927	2	27	4	3	0
183.214.157.224/28	971659862259793928	2	29	4	3	0
117.135.251.0/26	971659862259793929	2	33	4	3	0
117.135.250.0/26	971659862259793930	2	33	4	3	0
223.111.206.32/27	971659862259793931	2	31	4	3	0
223.111.206.64/27	971659862259793932	2	31	4	3	0
120.221.130.32/28	971659862259793933	2	17	5	4	0
120.221.19.224/27	971659862259793934	2	9	5	4	0
202.171.252.96/28	971659862259793935	5	24	4	3	0
202.171.252.112/28	971659862259793936	5	24	4	3	0
202.174.1.64/28	971659862259793937	5	24	4	3	0
164.160.28.96/27	971659862259793938	6	63	1	1	0
113.215.8.96/27	971659862259793939	2	62	4	3	0
113.215.21.0/24	971659862259793940	2	62	4	3	0
202.100.83.136/29	971659862259793941	4	67	4	3	0
115.168.91.104/29	971659862259793942	4	67	4	3	0
103.89.176.32/28	971659862259793943	6	64	2	1	0
120.210.221.192/27	971659862259793944	2	65	4	3	0
117.35.57.185/29	971659862263988224	4	68	4	3	0
171.10.31.32/29	971659862263988225	4	70	4	3	0
113.113.121.42/28	971659862263988226	6	71	4	3	0
43.255.113.224/28	971659862263988227	6	59	2	1	0
111.205.46.0/26	971659862263988228	6	59	2	1	0
112.29.252.0/28	971659862263988229	2	19	4	3	0
112.29.252.240/29	971659862263988230	2	19	4	3	0
112.29.252.192/28	971659862263988231	2	19	4	3	0
112.29.248.0/28	971659862263988232	2	19	4	3	0
123.126.105.153/29	971659862263988233	3	26	4	3	0
112.5.61.0/28	971659862263988234	2	45	4	3	0
112.5.61.64/28	971659862263988235	2	45	4	3	0
